15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,15,15,15
15,15,15,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,15,15,15
15,15,15,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,15,15,15
15,15,15,5,4,5,4,6,7,8,9,5,4,5,4,5,4,5,4,5,4,5,4,5,4,15,15,15
15,15,15,4,5,4,5,16,17,18,19,4,5,4,5,4,5,4,5,4,5,4,5,4,5,15,15,15
15,15,15,5,4,5,4,26,27,28,29,5,4,5,4,5,4,5,4,5,4,5,4,5,4,15,15,15
15,15,15,4,5,14,14,36,37,38,39,14,14,4,5,4,5,4,5,4,5,4,5,4,5,15,15,15
15,15,15,5,4,14,4,4,15,2,4,4,14,5,4,5,4,5,4,5,4,5,4,5,4,15,15,15
15,15,15,4,5,14,4,4,15,2,4,4,14,4,5,4,5,4,5,4,5,4,5,4,5,15,15,15
15,15,15,5,4,14,4,4,2,2,4,4,14,5,4,5,4,5,4,5,4,5,4,5,4,15,15,15
15,15,15,4,5,14,14,14,2,2,14,14,14,4,5,4,5,4,5,4,5,4,5,4,5,15,15,15
15,15,15,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,15,15,15
15,15,15,4,5,4,5,15,5,4,15,4,5,4,5,4,5,4,5,4,5,4,5,4,5,15,15,15
15,15,15,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,15,15,5,4,15,15,15
15,15,15,4,5,4,5,15,5,4,15,4,5,4,5,4,5,4,5,4,15,15,15,4,5,15,15,15
15,15,15,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,15,15,15,15,5,4,15,15,15
15,15,15,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,15,15,15,15,15,4,5,15,15,15
15,15,15,5,4,5,4,5,4,5,4,5,4,5,4,5,4,15,15,15,15,15,15,5,4,15,15,15
15,15,15,4,5,4,5,4,5,4,5,4,5,4,5,4,5,15,15,15,15,15,15,4,5,15,15,15
15,15,15,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
